REGISTRY_CODE,IDENTIFIER_IN_REG,INSTALLATION_NAME,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,MAIN_ACTIVITY_TYPE_CODE,Comment,PRTR_ID,tot,bio,est_bio,Verified,ALLOCATED_2015,ALLOCATED_RESERVE_2015,ALLOCATED_TRANSITIONAL_2015,,ACCOUNT_CLOSURE
GR,KORONIOTI,?????????? ?????? ????????? ?.?.,147,12-okt,36,,,,,,-1,0,0,0,,OPEN
PL,CIEP?OWNIA W BYTOWIE,CIEP?OWNIA W BYTOWIE,147,PL-0202-05,20,,,,,,-1,6100,0,0,,OPEN
ES,Polo Hermanos S.L.,Polo Hermanos S.L.,147,ES011808000158,32,,,,,,-1,-1,-1,-1,,OPEN
BG,Rodna Industria 91 LTD,Rodna Industria 91,148,BG-P156,32,,,,,,-1,4948,0,0,,OPEN
PT,168-Cerâmica Vicente e Filhos Lda,Cerâmica Vicente e Filhos Lda,150,140,32,,,,,,-1,7946,0,0,,OPEN
FR,001 DMS DALKIA FRANCE,Chaufferie urbaine du Banlay (Nevers),150,5401256,20,,,,,,-1,0,0,0,,OPEN
HU,Operator Account:HU152,Nagykanizsai Téglagyár,150,HU-UHG5152-8A-04,32,,,,,,-1,0,0,0,,OPEN
BG,Nikom -97 AD,Nikom-97,150,BG-P15,32,,,,,,-1,1383,0,0,,OPEN
GB,Grain (oil),Grain power station,152,UK-E-IN-11470,20,,,,,,-1,-1,-1,-1,,OPEN
BG,AES-3C Maritza East 1,TPP AES-3C Maritza East 1,152,BG-P135,20,,,,,,-1,-1,-1,-1,,OPEN
DE,171 - Anlagenkonto,Ofen 1 (Koksofen) Bollschweil,153,14240-0035,30,,,,,,-1,-1,-1,-1,,OPEN
BG,V&VGD Greenhouse Petrich Ltd,V&VGD Greenhouse Petrich Ltd,153,BG-P158,20,,,,,,-1,13305,0,0,,OPEN
PL,Ciep?ownia Zasanie,CIEP?OWNIA ZASANIE,154,PL-0213-05,20,,,,,,-1,24169,0,0,,OPEN
FR,Lafarge Ciments - Usine de Frangey,Lafarge Ciments - Usine de Frangey,155,5401296,29,,,,,,-1,180915,0,0,,OPEN
SK,TEHELNE VRANOV s.r.o.,Výroba tehál - Tehel?a,155,713-002-2009,32,,,,,,-1,0,0,0,,OPEN
PT,174-Fábrica de Papel de Medros Lda.,Fábrica de Papel de Medros Lda.,156,181,36,,,,,,-1,1832,0,0,,OPEN
RO,SC NUSCO IMOBILIARA SRL,SC Nusco Imobiliara SRL,157,RO-145-2013,20,,,,,,-1,0,0,0,,OPEN
FR,ANVIS FRANCE DECIZE,ANVIS FRANCE DECIZE,158,5401335,20,,,,,,-1,8043,0,0,,OPEN
PL,CIEP?OWNIA,Ciep?ownia,158,PL-0219-05,20,,,,,,-1,17887,0,0,,OPEN
PL,Ciep?ownia Brzesko,CIEP?OWNIA BRZESKO,159,PL-0220-05,20,,,,,,-1,7297,0,0,,OPEN
HU,Operator Account:HU161,Pannon Tégla Kft. Bonyhádi Gyáregysége,159,HU-UHG5301-8A-04,8,,,,,,-1,-1,-1,-1,,OPEN
IT,Operator Account,TERMOUTILIZZATORE,160,IT-A-190,1,,,,,,-1,-1,-1,-1,,OPEN
PL,Zak?ad Ciep?owniczy Brzeszcze,Zak?ad Ciep?owniczy Brzeszcze,160,PL-0222-05,20,,,,,,-1,16415,0,0,,OPEN
PL,Zak?ad Ciep?owniczy Czeczott,Zak?ad Ciep?owniczy Czeczott,161,PL-0223-05,20,,,,,,-1,11707,0,0,,OPEN
SE,Höglandssjukhuset Eksjö,Höglandssjukhuset Eksjö,162,06-563-012658-2004,20,,,,,,-1,-1,-1,-1,,OPEN
GB,Operator Account,Naylor Drainage,162,UK-E-IN-11485,8,,,,,,-1,-1,-1,-1,,OPEN
IT,Operator Account,PRODUZIONE CALCE VIVA,162,IT-A-192,6,,,,,,-1,-1,-1,-1,,OPEN
PL,Zak?ad Ciep?owniczy Janina,Zak?ad Ciep?owniczy Janina,162,PL-0224-05,20,,,,,,-1,10433,0,0,,OPEN
FI,Kartano:FI230,Kartanon lämpökeskus,163,FI-42731104,99,,,,,,-1,-1,-1,-1,,OPEN
SK,Plynová kotol?a Bratislava,Plynová kotol?a,164,103-001-2012,20,,,,,,-1,0,0,0,,OPEN
GB,Poolbank CHP,Poolbank CHP,164,UK-E-IN-11488,1,chp,,,,,-1,-1,-1,-1,,OPEN
RO,Operator Account,SC PETROCHEMICAL TRADING SRL,164,RO-142-2013,21,,,,,,-1,-1,-1,-1,,OPEN
PL,Zak?ad Ciep?owniczy Ziemowit,Zak?ad Ciep?owniczy Ziemowit,164,PL-0226-05,20,,,,,,-1,15444,0,0,,OPEN
GB,Kingsnorth Power Station,Kingsnorth power station,165,GB-EA-ETCO2-0207,1,,,,,,-1,-1,-1,-1,,OPEN
PT,184-Cerâmica Condestável Lda,Cerâmica Condestável Lda,166,199,8,,,,,,-1,-1,-1,-1,,OPEN
PL,CIEP?OWNIA,CIEP?OWNIA,166,PL-0232-05,20,,,,,,-1,6266,0,0,,OPEN
DK,Nørresundby FV,Nørresundby Fjernvarmeforsyning,166,TCO2-385,20,,,,,,-1,-1,-1,-1,,OPEN
BE,167 AGC Flat Glass Roux,AGC Flat Glass Roux,167,WAI063P120,31,,,,,,-1,0,0,0,,OPEN
FI,Kotimäki:FI234,Kotimäen lämpökeskus,167,FI-43131104,99,,,,,,-1,-1,-1,-1,,OPEN
IT,Operator Account,Profilatinave S.p.A. - stabilimento di Montirone,167,IT-A-201,24,,,,,,-1,0,0,0,,OPEN
PT,186-Cerâmica das Alhadas SA,Cerâmica das Alhadas SA,168,193,32,,,,,,-1,-1,-1,-1,,OPEN
PL,KOT?OWNIE W?GLOWE,KOT?OWNIE W?GLOWE,168,PL-0235-05,20,,,,,,-1,9029,0,0,,OPEN
ES,PeroxyChem Spain S.L.U.,PeroxyChem Spain S.L.U.,168,ES025001000179,20,,,,,,-1,-1,-1,-1,,OPEN
PT,187-Empresa de Cerâmica da Carriça S.A.,Empresa de Cerâmica da Carriça S.A.,169,215,8,,,,,,-1,5081,0,0,,OPEN
RO,Operator Account,SC Prolemn SA,169,RO-MS-467-2006,1,,,,,,-1,-1,-1,-1,,OPEN
HU,Operator Account:HU172,Samsung SDI Magyarország Rt. képcsogyára,170,HU-UHG5604-1-04,20,,,,,,-1,0,0,0,,16-dec-14
ES,Tecnicas de Cogeneracion del Gelsa S.L.,Tecnicas de Cogeneracion del Gelsa S.L.,170,ES025001000181,20,,,,,,-1,-1,-1,-1,,OPEN
SK,STEFE Zvolen_PBH,Plynová kotol?a PBH-1,171,611-004-2012,20,,,,,,-1,0,0,0,,OPEN
IT,Operator Account,STEFANA  S.p.A.  STABILIMENTO  DI  OSPITALETTO,171,IT-A-209,24,,,,,,-1,0,0,0,,OPEN
PL,CIEP?OWNIA W POR?BIE,CIEP?OWNIA W POR?BIE,173,PL-0241-05,20,,,,,,-1,0,0,0,,OPEN
PT,191-SULCERAM - Cerâmica do Sul S.A.,SULCERAM - Cerâmica do Sul S.A.,173,227,32,,,,,,-1,0,0,0,,OPEN
RO,Operator Account,SC REFRACERAM SRL - Punct de lucru Resita,174,RO-05-05-2007,8,,,,,,-1,-1,-1,-1,,OPEN
PT,193-Abilio Duarte da Mota & Filhos Lda,Abílio Duarte da Mota & Filhos Lda,175,148,8,,,,,,-1,-1,-1,-1,,OPEN
ES,E.ON GENERACIÓN S.L. - Escucha,E.ON GENERACIÓN S.L. - Escucha,175,ES024401000188,1,,,,,,-1,-1,-1,-1,,OPEN
FI,Fazerin lämpökeskus,Oululaisen kaasumoottorivoimalaitos,175,FI-43931104,99,,,,,,-1,0,0,0,,OPEN
RO,Operator Account,SC REMAR SA Pascani,176,RO-IS-01-2007,1,,,,,,-1,-1,-1,-1,,OPEN
ES,DICEPA PAPELERA DE ENATE S.L.,DICEPA PAPELERA DE ENATE S.L.,177,ES022209000191,36,,,,,,-1,-1,-1,-1,,OPEN
IT,Operator Account,Italcementi-Cementeria di Broni,177,IT-A-217,6,,,,,,-1,0,0,0,,OPEN
PL,Kot?ownia rejonowa KR-1,Kot?ownia rejonowa KR-1,177,PL-0253-05,20,,,,,,-1,9071,0,0,,OPEN
FI,PHKS vanha lämpökeskus,Päijät-Hämeen keskussairaalan lämpökeskus,177,FI-44131104,20,,,,,,-1,-1,-1,-1,,OPEN
GB,Fawley PS Operator Account,Fawley PS,178,UK-E-IN-11505,20,,,,,,-1,-1,-1,-1,,OPEN
SE,Luleå KVV,Luleå KVV,178,25-563-016191-2004,1,,,,,,-1,130243,0,0,,OPEN
PT,197-Faceril - Fábrica de Cerâmica do Ribatejo S.A.,Faceril - Fábrica de Cerâmica do Ribatejo S.A.,179,152,32,,,,,,-1,8634,0,0,,OPEN
GB,St Athan,MOD St. Athan,179,GB-EA-ETCO2-0247,1,,,,,,-1,-1,-1,-1,,OPEN
SK,K2 Business s.r.o.,Prevádzka na výrobu surového železa alebo ocele,179,302-004-2008,25,,,,,,-1,0,0,0,,OPEN
FI,Riihelä:FI246,Riihelän lämpökeskus,179,FI-44331104,99,,,,,,-1,-1,-1,-1,,OPEN
BE,180 Duferco Belgium - Produits Longs La Louvière,Duferco Belgium - Produits Longs La Louvière,180,WAI042P015,24,,,,,,-1,0,0,0,,OPEN
SE,HVC 2 Aronstorp,HVC 2 Aronstorp,180,25-563-18645-04,1,,,,,,-1,4320,0,0,,OPEN
GR,TSAVDARIDIS,??????????? ???/??? & ??? ??,181,21-jul,30,,,,,,-1,21815,0,0,,OPEN
NL,Nuon Power Buggenum (WAC),Nuon Power Buggenum (WAC),181,NL-200400088,1,,,,,,-1,-1,-1,-1,,OPEN
PT,201-CMP - Cimentos Maceira e Pataias S.A,Fábrica Maceira-Liz,183,103,29,,,,,,-1,612206,0,0,,OPEN
